#,startOfYear,lastUpdate,dateDiff
177,1986-01-01,2024-06-28,38
178,1987-01-01,2024-06-28,37
179,1988-01-01,2024-06-28,36
180,1989-01-01,2024-06-28,35
181,1990-01-01,2024-06-28,34
182,1991-01-01,2024-06-28,33
183,1992-01-01,2024-06-28,32
184,1993-01-01,2024-06-28,31
185,1994-01-01,2024-06-28,30
186,1995-01-01,2024-06-28,29
187,1996-01-01,2024-06-28,28
188,1997-01-01,2024-06-28,27
189,1998-01-01,2024-06-28,26
190,1999-01-01,2024-06-28,25
191,2000-01-01,2024-06-28,24
192,2001-01-01,2024-06-28,23
193,2002-01-01,2024-06-28,22
194,2003-01-01,2024-06-28,21
195,2004-01-01,2024-06-28,20
196,2005-01-01,2024-06-28,19
197,2006-01-01,2024-06-28,18
198,2007-01-01,2024-06-28,17
199,2008-01-01,2024-06-28,16
200,2009-01-01,2024-06-28,15
201,2010-01-01,2024-06-28,14
202,2011-01-01,2024-06-28,13
203,2012-01-01,2024-06-28,12
204,2013-01-01,2024-06-28,11
205,2014-01-01,2024-06-28,10
206,2015-01-01,2024-06-28,9
207,2016-01-01,2024-06-28,8
208,2017-01-01,2024-06-28,7
209,2018-01-01,2024-06-28,6
210,2019-01-01,2024-06-28,5
211,2020-01-01,2024-06-28,4
212,2021-01-01,2024-06-28,3
213,2022-01-01,2024-06-28,2
214,1971-01-01,2024-06-28,53
215,1972-01-01,2024-06-28,52
216,1973-01-01,2024-06-28,51
217,1974-01-01,2024-06-28,50
218,1975-01-01,2024-06-28,49
219,1976-01-01,2024-06-28,48
220,1977-01-01,2024-06-28,47
221,1978-01-01,2024-06-28,46
222,1979-01-01,2024-06-28,45
223,1990-01-01,2024-06-28,34
224,1991-01-01,2024-06-28,33
225,1992-01-01,2024-06-28,32
226,1993-01-01,2024-06-28,31
227,1994-01-01,2024-06-28,30
228,1995-01-01,2024-06-28,29
229,1996-01-01,2024-06-28,28
230,1997-01-01,2024-06-28,27
231,1998-01-01,2024-06-28,26
232,1999-01-01,2024-06-28,25
233,2000-01-01,2024-06-28,24
234,2001-01-01,2024-06-28,23
235,2002-01-01,2024-06-28,22
236,2003-01-01,2024-06-28,21
237,2004-01-01,2024-06-28,20
238,2005-01-01,2024-06-28,19
239,2006-01-01,2024-06-28,18
240,2007-01-01,2024-06-28,17
241,2008-01-01,2024-06-28,16
242,2009-01-01,2024-06-28,15
243,2010-01-01,2024-06-28,14
244,2011-01-01,2024-06-28,13
245,2012-01-01,2024-06-28,12
246,2013-01-01,2024-06-28,11
247,2014-01-01,2024-06-28,10
248,2015-01-01,2024-06-28,9
249,2016-01-01,2024-06-28,8
250,2017-01-01,2024-06-28,7
251,2018-01-01,2024-06-28,6
252,2019-01-01,2024-06-28,5
253,1980-01-01,2024-06-28,44
254,1981-01-01,2024-06-28,43
255,1982-01-01,2024-06-28,42
256,1983-01-01,2024-06-28,41
257,1984-01-01,2024-06-28,40
258,1985-01-01,2024-06-28,39
259,1986-01-01,2024-06-28,38
260,1987-01-01,2024-06-28,37
261,1988-01-01,2024-06-28,36
262,1989-01-01,2024-06-28,35
263,1990-01-01,2024-06-28,34
264,1991-01-01,2024-06-28,33
265,1992-01-01,2024-06-28,32
266,1993-01-01,2024-06-28,31
267,1994-01-01,2024-06-28,30
268,1995-01-01,2024-06-28,29
269,1996-01-01,2024-06-28,28
270,1997-01-01,2024-06-28,27
271,1998-01-01,2024-06-28,26
272,1999-01-01,2024-06-28,25
273,2000-01-01,2024-06-28,24
274,2001-01-01,2024-06-28,23
275,2002-01-01,2024-06-28,22
276,2003-01-01,2024-06-28,21
277,2004-01-01,2024-06-28,20
278,2005-01-01,2024-06-28,19
279,2006-01-01,2024-06-28,18
280,2007-01-01,2024-06-28,17
281,2008-01-01,2024-06-28,16
282,2009-01-01,2024-06-28,15
283,2010-01-01,2024-06-28,14
284,2011-01-01,2024-06-28,13
285,2012-01-01,2024-06-28,12
286,2013-01-01,2024-06-28,11
287,2014-01-01,2024-06-28,10
288,2015-01-01,2024-06-28,9
289,2016-01-01,2024-06-28,8
290,2017-01-01,2024-06-28,7
291,2018-01-01,2024-06-28,6
292,2019-01-01,2024-06-28,5
293,2020-01-01,2024-06-28,4
294,1999-01-01,2024-06-28,25
295,2000-01-01,2024-06-28,24
296,2001-01-01,2024-06-28,23
297,2002-01-01,2024-06-28,22
298,2003-01-01,2024-06-28,21
299,2004-01-01,2024-06-28,20
300,2005-01-01,2024-06-28,19
301,2006-01-01,2024-06-28,18
302,2007-01-01,2024-06-28,17
303,2008-01-01,2024-06-28,16
304,2009-01-01,2024-06-28,15
305,2010-01-01,2024-06-28,14
306,2011-01-01,2024-06-28,13
307,2012-01-01,2024-06-28,12
308,2013-01-01,2024-06-28,11
309,2014-01-01,2024-06-28,10
310,2015-01-01,2024-06-28,9
311,2016-01-01,2024-06-28,8
312,2017-01-01,2024-06-28,7
313,2018-01-01,2024-06-28,6
314,2019-01-01,2024-06-28,5
315,2020-01-01,2024-06-28,4
316,1980-01-01,2024-06-28,44
317,1981-01-01,2024-06-28,43
318,1982-01-01,2024-06-28,42
319,1983-01-01,2024-06-28,41
320,1984-01-01,2024-06-28,40
321,1985-01-01,2024-06-28,39
322,1986-01-01,2024-06-28,38
323,1987-01-01,2024-06-28,37
324,1988-01-01,2024-06-28,36
325,1989-01-01,2024-06-28,35
326,1990-01-01,2024-06-28,34
327,1991-01-01,2024-06-28,33
328,1992-01-01,2024-06-28,32
329,1993-01-01,2024-06-28,31
330,1994-01-01,2024-06-28,30
331,1995-01-01,2024-06-28,29
332,1996-01-01,2024-06-28,28
333,1997-01-01,2024-06-28,27
334,1998-01-01,2024-06-28,26
335,2021-01-01,2024-06-28,3
336,2022-01-01,2024-06-28,2
337,1980-01-01,2024-06-28,44
338,1981-01-01,2024-06-28,43
339,1982-01-01,2024-06-28,42
340,1983-01-01,2024-06-28,41
341,1984-01-01,2024-06-28,40
342,1985-01-01,2024-06-28,39
343,1986-01-01,2024-06-28,38
344,1987-01-01,2024-06-28,37
345,1988-01-01,2024-06-28,36
346,1989-01-01,2024-06-28,35
347,1991-01-01,2024-06-28,33
348,1992-01-01,2024-06-28,32
349,1993-01-01,2024-06-28,31
350,1994-01-01,2024-06-28,30
351,1995-01-01,2024-06-28,29
352,1996-01-01,2024-06-28,28
353,1997-01-01,2024-06-28,27
354,1998-01-01,2024-06-28,26
355,1999-01-01,2024-06-28,25
356,2000-01-01,2024-06-28,24
357,2001-01-01,2024-06-28,23
358,2002-01-01,2024-06-28,22
359,2003-01-01,2024-06-28,21
360,2004-01-01,2024-06-28,20
361,2005-01-01,2024-06-28,19
362,2006-01-01,2024-06-28,18
363,2007-01-01,2024-06-28,17
364,2008-01-01,2024-06-28,16
365,2009-01-01,2024-06-28,15
366,2010-01-01,2024-06-28,14
367,2011-01-01,2024-06-28,13
368,2012-01-01,2024-06-28,12
369,2013-01-01,2024-06-28,11
370,2014-01-01,2024-06-28,10
371,2015-01-01,2024-06-28,9
372,2016-01-01,2024-06-28,8
373,2017-01-01,2024-06-28,7
374,2018-01-01,2024-06-28,6
375,2019-01-01,2024-06-28,5
376,2020-01-01,2024-06-28,4
377,1990-01-01,2024-06-28,34
378,2021-01-01,2024-06-28,3
379,2022-01-01,2024-06-28,2
380,1971-01-01,2024-06-28,53
381,1972-01-01,2024-06-28,52
382,1973-01-01,2024-06-28,51
383,1974-01-01,2024-06-28,50
384,1975-01-01,2024-06-28,49
385,1977-01-01,2024-06-28,47
386,1980-01-01,2024-06-28,44
387,1981-01-01,2024-06-28,43
388,1982-01-01,2024-06-28,42
389,1983-01-01,2024-06-28,41
390,1984-01-01,2024-06-28,40
391,1985-01-01,2024-06-28,39
392,1986-01-01,2024-06-28,38
393,1987-01-01,2024-06-28,37
394,1988-01-01,2024-06-28,36
395,1989-01-01,2024-06-28,35
396,1990-01-01,2024-06-28,34
397,1991-01-01,2024-06-28,33
398,1992-01-01,2024-06-28,32
399,1993-01-01,2024-06-28,31
400,1994-01-01,2024-06-28,30
401,1995-01-01,2024-06-28,29
402,1996-01-01,2024-06-28,28
403,1997-01-01,2024-06-28,27
404,1998-01-01,2024-06-28,26
405,1999-01-01,2024-06-28,25
406,2000-01-01,2024-06-28,24
407,2001-01-01,2024-06-28,23
408,2002-01-01,2024-06-28,22
409,2003-01-01,2024-06-28,21
410,2004-01-01,2024-06-28,20
411,2005-01-01,2024-06-28,19
412,2006-01-01,2024-06-28,18
413,2007-01-01,2024-06-28,17
414,2008-01-01,2024-06-28,16
415,2010-01-01,2024-06-28,14
416,2009-01-01,2024-06-28,15
417,2011-01-01,2024-06-28,13
418,2012-01-01,2024-06-28,12
419,2013-01-01,2024-06-28,11
420,2014-01-01,2024-06-28,10
