#,startOfYear,lastUpdate,dateDiff
2935,2005-01-01,2024-06-28,19
2936,2006-01-01,2024-06-28,18
2937,2007-01-01,2024-06-28,17
2938,2008-01-01,2024-06-28,16
2939,2009-01-01,2024-06-28,15
2940,2010-01-01,2024-06-28,14
2941,2011-01-01,2024-06-28,13
2942,2012-01-01,2024-06-28,12
2943,2013-01-01,2024-06-28,11
2944,2014-01-01,2024-06-28,10
2945,2015-01-01,2024-06-28,9
2946,2016-01-01,2024-06-28,8
2947,2017-01-01,2024-06-28,7
2948,2018-01-01,2024-06-28,6
2949,2019-01-01,2024-06-28,5
2950,2020-01-01,2024-06-28,4
2951,1980-01-01,2024-06-28,44
2952,1981-01-01,2024-06-28,43
2953,1982-01-01,2024-06-28,42
2954,1983-01-01,2024-06-28,41
2955,1984-01-01,2024-06-28,40
2956,1985-01-01,2024-06-28,39
2957,1986-01-01,2024-06-28,38
2958,1987-01-01,2024-06-28,37
2959,1988-01-01,2024-06-28,36
2960,1989-01-01,2024-06-28,35
2961,1990-01-01,2024-06-28,34
2962,1991-01-01,2024-06-28,33
2963,1992-01-01,2024-06-28,32
2964,1993-01-01,2024-06-28,31
2965,2021-01-01,2024-06-28,3
2966,2022-01-01,2024-06-28,2
2967,1991-01-01,2024-06-28,33
2968,1992-01-01,2024-06-28,32
2969,1993-01-01,2024-06-28,31
2970,1994-01-01,2024-06-28,30
2971,1995-01-01,2024-06-28,29
2972,1996-01-01,2024-06-28,28
2973,1997-01-01,2024-06-28,27
2974,1998-01-01,2024-06-28,26
2975,1999-01-01,2024-06-28,25
2976,2000-01-01,2024-06-28,24
2977,2001-01-01,2024-06-28,23
2978,2002-01-01,2024-06-28,22
2979,2003-01-01,2024-06-28,21
2980,2004-01-01,2024-06-28,20
2981,2005-01-01,2024-06-28,19
2982,2006-01-01,2024-06-28,18
2983,2007-01-01,2024-06-28,17
2984,2008-01-01,2024-06-28,16
2985,2009-01-01,2024-06-28,15
2986,2010-01-01,2024-06-28,14
2987,2011-01-01,2024-06-28,13
2988,2012-01-01,2024-06-28,12
2989,2013-01-01,2024-06-28,11
2990,2014-01-01,2024-06-28,10
2991,2015-01-01,2024-06-28,9
2992,2016-01-01,2024-06-28,8
2993,2017-01-01,2024-06-28,7
2994,2018-01-01,2024-06-28,6
2995,2019-01-01,2024-06-28,5
2996,2020-01-01,2024-06-28,4
2997,1980-01-01,2024-06-28,44
2998,1981-01-01,2024-06-28,43
2999,1982-01-01,2024-06-28,42
3000,1983-01-01,2024-06-28,41
3001,1984-01-01,2024-06-28,40
3002,1985-01-01,2024-06-28,39
3003,1986-01-01,2024-06-28,38
3004,1987-01-01,2024-06-28,37
3005,1988-01-01,2024-06-28,36
3006,1989-01-01,2024-06-28,35
3007,1990-01-01,2024-06-28,34
3008,2021-01-01,2024-06-28,3
3009,2022-01-01,2024-06-28,2
3010,1980-01-01,2024-06-28,44
3011,1982-01-01,2024-06-28,42
3012,1983-01-01,2024-06-28,41
3013,1984-01-01,2024-06-28,40
3014,1985-01-01,2024-06-28,39
3015,1986-01-01,2024-06-28,38
3016,1987-01-01,2024-06-28,37
3017,1988-01-01,2024-06-28,36
3018,1989-01-01,2024-06-28,35
3019,1990-01-01,2024-06-28,34
3020,1991-01-01,2024-06-28,33
3021,1992-01-01,2024-06-28,32
3022,1993-01-01,2024-06-28,31
3023,1994-01-01,2024-06-28,30
3024,1995-01-01,2024-06-28,29
3025,1996-01-01,2024-06-28,28
3026,1997-01-01,2024-06-28,27
3027,1998-01-01,2024-06-28,26
3028,1999-01-01,2024-06-28,25
3029,2000-01-01,2024-06-28,24
3030,2001-01-01,2024-06-28,23
3031,2002-01-01,2024-06-28,22
3032,2003-01-01,2024-06-28,21
3033,2004-01-01,2024-06-28,20
3034,2005-01-01,2024-06-28,19
3035,2006-01-01,2024-06-28,18
3036,2007-01-01,2024-06-28,17
3037,2008-01-01,2024-06-28,16
3038,2009-01-01,2024-06-28,15
3039,2010-01-01,2024-06-28,14
3040,2011-01-01,2024-06-28,13
3041,2012-01-01,2024-06-28,12
3042,2013-01-01,2024-06-28,11
3043,2014-01-01,2024-06-28,10
3044,2015-01-01,2024-06-28,9
3045,2016-01-01,2024-06-28,8
3046,2017-01-01,2024-06-28,7
3047,2018-01-01,2024-06-28,6
3048,2019-01-01,2024-06-28,5
3049,2020-01-01,2024-06-28,4
3050,1981-01-01,2024-06-28,43
3051,2021-01-01,2024-06-28,3
3052,2022-01-01,2024-06-28,2
3053,1978-01-01,2024-06-28,46
3054,1980-01-01,2024-06-28,44
3055,1981-01-01,2024-06-28,43
3056,1982-01-01,2024-06-28,42
3057,1983-01-01,2024-06-28,41
3058,1984-01-01,2024-06-28,40
3059,1985-01-01,2024-06-28,39
3060,1986-01-01,2024-06-28,38
3061,1987-01-01,2024-06-28,37
3062,1988-01-01,2024-06-28,36
3063,1989-01-01,2024-06-28,35
3064,1990-01-01,2024-06-28,34
3065,1991-01-01,2024-06-28,33
3066,1992-01-01,2024-06-28,32
3067,1993-01-01,2024-06-28,31
3068,1994-01-01,2024-06-28,30
3069,1995-01-01,2024-06-28,29
3070,1996-01-01,2024-06-28,28
3071,1997-01-01,2024-06-28,27
3072,1998-01-01,2024-06-28,26
3073,1999-01-01,2024-06-28,25
3074,2000-01-01,2024-06-28,24
3075,2001-01-01,2024-06-28,23
3076,2002-01-01,2024-06-28,22
3077,2003-01-01,2024-06-28,21
3078,2004-01-01,2024-06-28,20
3079,2005-01-01,2024-06-28,19
3080,2006-01-01,2024-06-28,18
3081,2007-01-01,2024-06-28,17
3082,2008-01-01,2024-06-28,16
3083,2009-01-01,2024-06-28,15
3084,2010-01-01,2024-06-28,14
3085,2011-01-01,2024-06-28,13
3086,2012-01-01,2024-06-28,12
3087,2013-01-01,2024-06-28,11
3088,2014-01-01,2024-06-28,10
3089,2015-01-01,2024-06-28,9
3090,2016-01-01,2024-06-28,8
3091,2017-01-01,2024-06-28,7
3092,2018-01-01,2024-06-28,6
3093,2019-01-01,2024-06-28,5
3094,2020-01-01,2024-06-28,4
3095,2021-01-01,2024-06-28,3
3096,2022-01-01,2024-06-28,2
3097,1970-01-01,2024-06-28,54
3098,1971-01-01,2024-06-28,53
3099,1980-01-01,2024-06-28,44
3100,1981-01-01,2024-06-28,43
3101,1982-01-01,2024-06-28,42
3102,1983-01-01,2024-06-28,41
3103,1984-01-01,2024-06-28,40
3104,1985-01-01,2024-06-28,39
3105,1986-01-01,2024-06-28,38
3106,1987-01-01,2024-06-28,37
3107,1988-01-01,2024-06-28,36
3108,1989-01-01,2024-06-28,35
3109,1990-01-01,2024-06-28,34
3110,1991-01-01,2024-06-28,33
3111,1992-01-01,2024-06-28,32
3112,1993-01-01,2024-06-28,31
3113,1994-01-01,2024-06-28,30
3114,1995-01-01,2024-06-28,29
3115,1996-01-01,2024-06-28,28
3116,1997-01-01,2024-06-28,27
3117,1998-01-01,2024-06-28,26
3118,1999-01-01,2024-06-28,25
3119,2000-01-01,2024-06-28,24
3120,2001-01-01,2024-06-28,23
3121,2002-01-01,2024-06-28,22
3122,2003-01-01,2024-06-28,21
3123,2004-01-01,2024-06-28,20
3124,2005-01-01,2024-06-28,19
3125,2006-01-01,2024-06-28,18
3126,2007-01-01,2024-06-28,17
3127,2008-01-01,2024-06-28,16
3128,2009-01-01,2024-06-28,15
3129,2010-01-01,2024-06-28,14
3130,2011-01-01,2024-06-28,13
3131,2012-01-01,2024-06-28,12
3132,2013-01-01,2024-06-28,11
3133,2014-01-01,2024-06-28,10
3134,2015-01-01,2024-06-28,9
3135,2016-01-01,2024-06-28,8
3136,2017-01-01,2024-06-28,7
3137,2018-01-01,2024-06-28,6
3138,2019-01-01,2024-06-28,5
3139,2020-01-01,2024-06-28,4
3140,1970-01-01,2024-06-28,54
3141,1971-01-01,2024-06-28,53
3142,1972-01-01,2024-06-28,52
3143,1973-01-01,2024-06-28,51
3144,1974-01-01,2024-06-28,50
3145,1975-01-01,2024-06-28,49
3146,1976-01-01,2024-06-28,48
3147,1977-01-01,2024-06-28,47
3148,1978-01-01,2024-06-28,46
3149,1979-01-01,2024-06-28,45
3150,1990-01-01,2024-06-28,34
3151,1991-01-01,2024-06-28,33
3152,1992-01-01,2024-06-28,32
3153,1993-01-01,2024-06-28,31
3154,1994-01-01,2024-06-28,30
3155,1995-01-01,2024-06-28,29
3156,1996-01-01,2024-06-28,28
3157,1997-01-01,2024-06-28,27
3158,1998-01-01,2024-06-28,26
3159,1999-01-01,2024-06-28,25
3160,2000-01-01,2024-06-28,24
3161,2001-01-01,2024-06-28,23
3162,2002-01-01,2024-06-28,22
3163,2003-01-01,2024-06-28,21
3164,2004-01-01,2024-06-28,20
3165,2005-01-01,2024-06-28,19
3166,2006-01-01,2024-06-28,18
3167,2007-01-01,2024-06-28,17
3168,2008-01-01,2024-06-28,16
3169,2009-01-01,2024-06-28,15
3170,2010-01-01,2024-06-28,14
3171,2011-01-01,2024-06-28,13
3172,2012-01-01,2024-06-28,12
3173,2013-01-01,2024-06-28,11
3174,2014-01-01,2024-06-28,10
3175,2015-01-01,2024-06-28,9
3176,2016-01-01,2024-06-28,8
3177,2017-01-01,2024-06-28,7
3178,2018-01-01,2024-06-28,6
3179,2019-01-01,2024-06-28,5
3180,1990-01-01,2024-06-28,34
3181,1991-01-01,2024-06-28,33
3182,1992-01-01,2024-06-28,32
3183,1993-01-01,2024-06-28,31
3184,1994-01-01,2024-06-28,30
3185,1995-01-01,2024-06-28,29
3186,1996-01-01,2024-06-28,28
3187,1997-01-01,2024-06-28,27
3188,1998-01-01,2024-06-28,26
3189,1999-01-01,2024-06-28,25
3190,2000-01-01,2024-06-28,24
3191,2001-01-01,2024-06-28,23
3192,2002-01-01,2024-06-28,22
3193,2003-01-01,2024-06-28,21
3194,2004-01-01,2024-06-28,20
3195,2005-01-01,2024-06-28,19
3196,2006-01-01,2024-06-28,18
3197,2007-01-01,2024-06-28,17
3198,2008-01-01,2024-06-28,16
3199,2009-01-01,2024-06-28,15
3200,2010-01-01,2024-06-28,14
3201,2011-01-01,2024-06-28,13
3202,2012-01-01,2024-06-28,12
3203,2013-01-01,2024-06-28,11
3204,2014-01-01,2024-06-28,10
3205,2015-01-01,2024-06-28,9
3206,2016-01-01,2024-06-28,8
3207,2017-01-01,2024-06-28,7
3208,2018-01-01,2024-06-28,6
3209,2019-01-01,2024-06-28,5
3210,1980-01-01,2024-06-28,44
3211,1981-01-01,2024-06-28,43
3212,1982-01-01,2024-06-28,42
3213,1983-01-01,2024-06-28,41
3214,1984-01-01,2024-06-28,40
3215,1985-01-01,2024-06-28,39
3216,1986-01-01,2024-06-28,38
3217,1987-01-01,2024-06-28,37
3218,1988-01-01,2024-06-28,36
3219,1989-01-01,2024-06-28,35
3220,1990-01-01,2024-06-28,34
3221,1991-01-01,2024-06-28,33
3222,1992-01-01,2024-06-28,32
3223,1993-01-01,2024-06-28,31
3224,1994-01-01,2024-06-28,30
3225,1995-01-01,2024-06-28,29
3226,1996-01-01,2024-06-28,28
3227,1997-01-01,2024-06-28,27
3228,1999-01-01,2024-06-28,25
3229,2000-01-01,2024-06-28,24
3230,2001-01-01,2024-06-28,23
3231,2002-01-01,2024-06-28,22
3232,2003-01-01,2024-06-28,21
3233,2004-01-01,2024-06-28,20
3234,2005-01-01,2024-06-28,19
3235,2006-01-01,2024-06-28,18
3236,2007-01-01,2024-06-28,17
3237,2008-01-01,2024-06-28,16
3238,2010-01-01,2024-06-28,14
3239,2012-01-01,2024-06-28,12
3240,1998-01-01,2024-06-28,26
3241,2009-01-01,2024-06-28,15
3242,2011-01-01,2024-06-28,13
3243,2013-01-01,2024-06-28,11
3244,2014-01-01,2024-06-28,10
3245,2015-01-01,2024-06-28,9
3246,2016-01-01,2024-06-28,8
3247,2017-01-01,2024-06-28,7
3248,2018-01-01,2024-06-28,6
3249,2019-01-01,2024-06-28,5
3250,2020-01-01,2024-06-28,4
3251,2021-01-01,2024-06-28,3
3252,2022-01-01,2024-06-28,2
3253,1980-01-01,2024-06-28,44
3254,1981-01-01,2024-06-28,43
3255,1982-01-01,2024-06-28,42
3256,1983-01-01,2024-06-28,41
3257,1984-01-01,2024-06-28,40
3258,1985-01-01,2024-06-28,39
3259,1986-01-01,2024-06-28,38
3260,1987-01-01,2024-06-28,37
3261,1988-01-01,2024-06-28,36
3262,1989-01-01,2024-06-28,35
3263,1990-01-01,2024-06-28,34
3264,1991-01-01,2024-06-28,33
3265,1992-01-01,2024-06-28,32
3266,1993-01-01,2024-06-28,31
3267,1994-01-01,2024-06-28,30
3268,1995-01-01,2024-06-28,29
3269,1996-01-01,2024-06-28,28
3270,1997-01-01,2024-06-28,27
3271,1998-01-01,2024-06-28,26
3272,1999-01-01,2024-06-28,25
3273,2000-01-01,2024-06-28,24
3274,2001-01-01,2024-06-28,23
3275,2002-01-01,2024-06-28,22
3276,2003-01-01,2024-06-28,21
3277,2004-01-01,2024-06-28,20
3278,2005-01-01,2024-06-28,19
3279,2006-01-01,2024-06-28,18
3280,2007-01-01,2024-06-28,17
3281,2008-01-01,2024-06-28,16
3282,2009-01-01,2024-06-28,15
3283,2010-01-01,2024-06-28,14
3284,2011-01-01,2024-06-28,13
3285,2012-01-01,2024-06-28,12
3286,2013-01-01,2024-06-28,11
3287,2014-01-01,2024-06-28,10
3288,2015-01-01,2024-06-28,9
3289,2016-01-01,2024-06-28,8
3290,2017-01-01,2024-06-28,7
3291,2018-01-01,2024-06-28,6
3292,2019-01-01,2024-06-28,5
3293,2020-01-01,2024-06-28,4
3294,2021-01-01,2024-06-28,3
3295,2022-01-01,2024-06-28,2
3296,1980-01-01,2024-06-28,44
3297,1981-01-01,2024-06-28,43
3298,1982-01-01,2024-06-28,42
3299,1983-01-01,2024-06-28,41
3300,1984-01-01,2024-06-28,40
3301,1985-01-01,2024-06-28,39
3302,1986-01-01,2024-06-28,38
3303,1987-01-01,2024-06-28,37
3304,1988-01-01,2024-06-28,36
3305,1989-01-01,2024-06-28,35
3306,1990-01-01,2024-06-28,34
3307,1991-01-01,2024-06-28,33
3308,1992-01-01,2024-06-28,32
3309,1993-01-01,2024-06-28,31
3310,1994-01-01,2024-06-28,30
3311,1995-01-01,2024-06-28,29
3312,1996-01-01,2024-06-28,28
3313,1997-01-01,2024-06-28,27
3314,1998-01-01,2024-06-28,26
3315,1999-01-01,2024-06-28,25
3316,2000-01-01,2024-06-28,24
3317,2001-01-01,2024-06-28,23
3318,2002-01-01,2024-06-28,22
3319,2003-01-01,2024-06-28,21
3320,2004-01-01,2024-06-28,20
3321,2006-01-01,2024-06-28,18
3322,2007-01-01,2024-06-28,17
3323,2008-01-01,2024-06-28,16
3324,2009-01-01,2024-06-28,15
3325,2010-01-01,2024-06-28,14
3326,2011-01-01,2024-06-28,13
3327,2012-01-01,2024-06-28,12
3328,2013-01-01,2024-06-28,11
3329,2014-01-01,2024-06-28,10
3330,2015-01-01,2024-06-28,9
3331,2016-01-01,2024-06-28,8
3332,2017-01-01,2024-06-28,7
3333,2018-01-01,2024-06-28,6
3334,2019-01-01,2024-06-28,5
3335,2020-01-01,2024-06-28,4
3336,2005-01-01,2024-06-28,19
3337,2021-01-01,2024-06-28,3
3338,2022-01-01,2024-06-28,2
3339,1970-01-01,2024-06-28,54
3340,1971-01-01,2024-06-28,53
3341,1973-01-01,2024-06-28,51
3342,1974-01-01,2024-06-28,50
3343,1975-01-01,2024-06-28,49
3344,1976-01-01,2024-06-28,48
3345,1979-01-01,2024-06-28,45
3346,1990-01-01,2024-06-28,34
3347,1991-01-01,2024-06-28,33
3348,1992-01-01,2024-06-28,32
3349,1993-01-01,2024-06-28,31
3350,1994-01-01,2024-06-28,30
3351,1995-01-01,2024-06-28,29
3352,1996-01-01,2024-06-28,28
3353,1997-01-01,2024-06-28,27
3354,1998-01-01,2024-06-28,26
3355,1999-01-01,2024-06-28,25
3356,2000-01-01,2024-06-28,24
3357,2001-01-01,2024-06-28,23
3358,2002-01-01,2024-06-28,22
3359,2003-01-01,2024-06-28,21
3360,2004-01-01,2024-06-28,20
3361,2005-01-01,2024-06-28,19
3362,2006-01-01,2024-06-28,18
3363,2007-01-01,2024-06-28,17
3364,2008-01-01,2024-06-28,16
3365,2009-01-01,2024-06-28,15
3366,2010-01-01,2024-06-28,14
3367,2011-01-01,2024-06-28,13
3368,2012-01-01,2024-06-28,12
3369,2013-01-01,2024-06-28,11
3370,2014-01-01,2024-06-28,10
3371,2015-01-01,2024-06-28,9
3372,2016-01-01,2024-06-28,8
3373,2017-01-01,2024-06-28,7
3374,2018-01-01,2024-06-28,6
3375,2019-01-01,2024-06-28,5
3376,1980-01-01,2024-06-28,44
3377,1981-01-01,2024-06-28,43
3378,1982-01-01,2024-06-28,42
3379,1983-01-01,2024-06-28,41
3380,1984-01-01,2024-06-28,40
3381,1985-01-01,2024-06-28,39
3382,1986-01-01,2024-06-28,38
3383,1987-01-01,2024-06-28,37
3384,1988-01-01,2024-06-28,36
3385,1989-01-01,2024-06-28,35
3386,1990-01-01,2024-06-28,34
3387,1995-01-01,2024-06-28,29
3388,1996-01-01,2024-06-28,28
3389,1999-01-01,2024-06-28,25
3390,2000-01-01,2024-06-28,24
3391,2001-01-01,2024-06-28,23
3392,2002-01-01,2024-06-28,22
3393,2003-01-01,2024-06-28,21
3394,2004-01-01,2024-06-28,20
3395,2005-01-01,2024-06-28,19
3396,2006-01-01,2024-06-28,18
3397,2007-01-01,2024-06-28,17
3398,2008-01-01,2024-06-28,16
3399,2009-01-01,2024-06-28,15
3400,2010-01-01,2024-06-28,14
3401,2011-01-01,2024-06-28,13
3402,2012-01-01,2024-06-28,12
3403,2013-01-01,2024-06-28,11
3404,2014-01-01,2024-06-28,10
3405,2015-01-01,2024-06-28,9
3406,2016-01-01,2024-06-28,8
3407,2017-01-01,2024-06-28,7
3408,2018-01-01,2024-06-28,6
3409,2019-01-01,2024-06-28,5
3410,2020-01-01,2024-06-28,4
3411,1991-01-01,2024-06-28,33
3412,1992-01-01,2024-06-28,32
3413,1993-01-01,2024-06-28,31
3414,1994-01-01,2024-06-28,30
3415,1997-01-01,2024-06-28,27
3416,1998-01-01,2024-06-28,26
3417,2021-01-01,2024-06-28,3
3418,2022-01-01,2024-06-28,2
3419,1979-01-01,2024-06-28,45
3420,1980-01-01,2024-06-28,44
3421,1981-01-01,2024-06-28,43
3422,1983-01-01,2024-06-28,41
3423,1984-01-01,2024-06-28,40
3424,1985-01-01,2024-06-28,39
3425,1986-01-01,2024-06-28,38
3426,1987-01-01,2024-06-28,37
3427,1988-01-01,2024-06-28,36
3428,1989-01-01,2024-06-28,35
3429,1990-01-01,2024-06-28,34
3430,1991-01-01,2024-06-28,33
3431,1992-01-01,2024-06-28,32
3432,1993-01-01,2024-06-28,31
3433,1994-01-01,2024-06-28,30
3434,1995-01-01,2024-06-28,29
3435,1996-01-01,2024-06-28,28
3436,1997-01-01,2024-06-28,27
3437,1998-01-01,2024-06-28,26
3438,1999-01-01,2024-06-28,25
3439,2000-01-01,2024-06-28,24
3440,2001-01-01,2024-06-28,23
3441,2002-01-01,2024-06-28,22
3442,2003-01-01,2024-06-28,21
3443,2004-01-01,2024-06-28,20
3444,2005-01-01,2024-06-28,19
3445,2006-01-01,2024-06-28,18
3446,2007-01-01,2024-06-28,17
3447,2008-01-01,2024-06-28,16
3448,2009-01-01,2024-06-28,15
3449,2010-01-01,2024-06-28,14
3450,2011-01-01,2024-06-28,13
3451,2012-01-01,2024-06-28,12
3452,2013-01-01,2024-06-28,11
3453,2014-01-01,2024-06-28,10
3454,2015-01-01,2024-06-28,9
3455,2016-01-01,2024-06-28,8
3456,2017-01-01,2024-06-28,7
3457,2018-01-01,2024-06-28,6
3458,2019-01-01,2024-06-28,5
3459,2020-01-01,2024-06-28,4
3460,1982-01-01,2024-06-28,42
3461,2021-01-01,2024-06-28,3
3462,2022-01-01,2024-06-28,2
3463,1991-01-01,2024-06-28,33
3464,1992-01-01,2024-06-28,32
3465,1993-01-01,2024-06-28,31
3466,1994-01-01,2024-06-28,30
3467,1995-01-01,2024-06-28,29
3468,1996-01-01,2024-06-28,28
3469,1997-01-01,2024-06-28,27
3470,1998-01-01,2024-06-28,26
3471,1999-01-01,2024-06-28,25
3472,2000-01-01,2024-06-28,24
3473,2001-01-01,2024-06-28,23
3474,2002-01-01,2024-06-28,22
3475,2003-01-01,2024-06-28,21
3476,2004-01-01,2024-06-28,20
3477,2005-01-01,2024-06-28,19
3478,2006-01-01,2024-06-28,18
3479,2007-01-01,2024-06-28,17
3480,2008-01-01,2024-06-28,16
3481,2009-01-01,2024-06-28,15
3482,2010-01-01,2024-06-28,14
3483,2011-01-01,2024-06-28,13
3484,2012-01-01,2024-06-28,12
3485,2013-01-01,2024-06-28,11
3486,2014-01-01,2024-06-28,10
3487,2015-01-01,2024-06-28,9
3488,2016-01-01,2024-06-28,8
3489,2017-01-01,2024-06-28,7
3490,2018-01-01,2024-06-28,6
3491,2019-01-01,2024-06-28,5
3492,2020-01-01,2024-06-28,4
3493,1980-01-01,2024-06-28,44
3494,1981-01-01,2024-06-28,43
3495,1982-01-01,2024-06-28,42
3496,1983-01-01,2024-06-28,41
3497,1984-01-01,2024-06-28,40
3498,1985-01-01,2024-06-28,39
3499,1986-01-01,2024-06-28,38
3500,1987-01-01,2024-06-28,37
3501,1988-01-01,2024-06-28,36
3502,1989-01-01,2024-06-28,35
3503,1990-01-01,2024-06-28,34
3504,2021-01-01,2024-06-28,3
3505,2022-01-01,2024-06-28,2
3506,1980-01-01,2024-06-28,44
3507,1981-01-01,2024-06-28,43
3508,1982-01-01,2024-06-28,42
3509,1983-01-01,2024-06-28,41
3510,1984-01-01,2024-06-28,40
3511,1985-01-01,2024-06-28,39
3512,1986-01-01,2024-06-28,38
3513,1987-01-01,2024-06-28,37
3514,1988-01-01,2024-06-28,36
3515,1989-01-01,2024-06-28,35
3516,1990-01-01,2024-06-28,34
3517,1991-01-01,2024-06-28,33
3518,1992-01-01,2024-06-28,32
3519,1993-01-01,2024-06-28,31
3520,1994-01-01,2024-06-28,30
3521,1995-01-01,2024-06-28,29
3522,1996-01-01,2024-06-28,28
3523,1997-01-01,2024-06-28,27
3524,1998-01-01,2024-06-28,26
3525,1999-01-01,2024-06-28,25
3526,2000-01-01,2024-06-28,24
3527,2001-01-01,2024-06-28,23
3528,2002-01-01,2024-06-28,22
3529,2003-01-01,2024-06-28,21
3530,2004-01-01,2024-06-28,20
3531,2005-01-01,2024-06-28,19
3532,2006-01-01,2024-06-28,18
3533,2007-01-01,2024-06-28,17
3534,2008-01-01,2024-06-28,16
3535,2009-01-01,2024-06-28,15
3536,2010-01-01,2024-06-28,14
3537,2011-01-01,2024-06-28,13
3538,2012-01-01,2024-06-28,12
3539,2013-01-01,2024-06-28,11
3540,2014-01-01,2024-06-28,10
3541,2015-01-01,2024-06-28,9
3542,2016-01-01,2024-06-28,8
3543,2017-01-01,2024-06-28,7
3544,2018-01-01,2024-06-28,6
3545,2019-01-01,2024-06-28,5
3546,2020-01-01,2024-06-28,4
3547,2021-01-01,2024-06-28,3
3548,2022-01-01,2024-06-28,2
3549,1971-01-01,2024-06-28,53
3550,1972-01-01,2024-06-28,52
3551,1973-01-01,2024-06-28,51
3552,1974-01-01,2024-06-28,50
3553,1975-01-01,2024-06-28,49
3554,1976-01-01,2024-06-28,48
3555,1977-01-01,2024-06-28,47
3556,2008-01-01,2024-06-28,16
3557,2009-01-01,2024-06-28,15
3558,2010-01-01,2024-06-28,14
3559,2011-01-01,2024-06-28,13
3560,2012-01-01,2024-06-28,12
3561,2013-01-01,2024-06-28,11
3562,2014-01-01,2024-06-28,10
3563,2015-01-01,2024-06-28,9
3564,2016-01-01,2024-06-28,8
3565,1980-01-01,2024-06-28,44
3566,1981-01-01,2024-06-28,43
3567,1982-01-01,2024-06-28,42
3568,1983-01-01,2024-06-28,41
3569,1984-01-01,2024-06-28,40
3570,1985-01-01,2024-06-28,39
3571,1986-01-01,2024-06-28,38
3572,1987-01-01,2024-06-28,37
3573,1988-01-01,2024-06-28,36
3574,1989-01-01,2024-06-28,35
3575,1990-01-01,2024-06-28,34
3576,1991-01-01,2024-06-28,33
3577,1992-01-01,2024-06-28,32
3578,1993-01-01,2024-06-28,31
3579,1994-01-01,2024-06-28,30
3580,1995-01-01,2024-06-28,29
3581,1996-01-01,2024-06-28,28
3582,1997-01-01,2024-06-28,27
3583,1998-01-01,2024-06-28,26
3584,1999-01-01,2024-06-28,25
3585,2000-01-01,2024-06-28,24
3586,2001-01-01,2024-06-28,23
3587,2002-01-01,2024-06-28,22
3588,2003-01-01,2024-06-28,21
3589,2004-01-01,2024-06-28,20
3590,2005-01-01,2024-06-28,19
3591,2006-01-01,2024-06-28,18
3592,2007-01-01,2024-06-28,17
3593,2017-01-01,2024-06-28,7
3594,2018-01-01,2024-06-28,6
3595,2019-01-01,2024-06-28,5
3596,2020-01-01,2024-06-28,4
3597,2021-01-01,2024-06-28,3
3598,2022-01-01,2024-06-28,2
3599,1970-01-01,2024-06-28,54
3600,1971-01-01,2024-06-28,53
3601,1972-01-01,2024-06-28,52
3602,1973-01-01,2024-06-28,51
3603,1974-01-01,2024-06-28,50
3604,1975-01-01,2024-06-28,49
3605,1976-01-01,2024-06-28,48
3606,1977-01-01,2024-06-28,47
3607,1978-01-01,2024-06-28,46
3608,1979-01-01,2024-06-28,45
3609,1980-01-01,2024-06-28,44
3610,1981-01-01,2024-06-28,43
3611,1982-01-01,2024-06-28,42
3612,1983-01-01,2024-06-28,41
3613,1984-01-01,2024-06-28,40
3614,1985-01-01,2024-06-28,39
3615,1986-01-01,2024-06-28,38
3616,1987-01-01,2024-06-28,37
3617,1988-01-01,2024-06-28,36
3618,1989-01-01,2024-06-28,35
3619,1990-01-01,2024-06-28,34
3620,1991-01-01,2024-06-28,33
3621,1992-01-01,2024-06-28,32
3622,1993-01-01,2024-06-28,31
3623,1994-01-01,2024-06-28,30
3624,1995-01-01,2024-06-28,29
3625,1996-01-01,2024-06-28,28
3626,1997-01-01,2024-06-28,27
3627,1998-01-01,2024-06-28,26
3628,1999-01-01,2024-06-28,25
3629,2000-01-01,2024-06-28,24
3630,2001-01-01,2024-06-28,23
3631,2002-01-01,2024-06-28,22
3632,2003-01-01,2024-06-28,21
3633,2004-01-01,2024-06-28,20
3634,2005-01-01,2024-06-28,19
3635,2006-01-01,2024-06-28,18
3636,2007-01-01,2024-06-28,17
3637,2008-01-01,2024-06-28,16
3638,2009-01-01,2024-06-28,15
3639,2010-01-01,2024-06-28,14
3640,2011-01-01,2024-06-28,13
3641,2012-01-01,2024-06-28,12
3642,2013-01-01,2024-06-28,11
3643,2014-01-01,2024-06-28,10
3644,2015-01-01,2024-06-28,9
3645,2016-01-01,2024-06-28,8
3646,2017-01-01,2024-06-28,7
3647,2018-01-01,2024-06-28,6
3648,2019-01-01,2024-06-28,5
3649,2020-01-01,2024-06-28,4
3650,2021-01-01,2024-06-28,3
3651,2022-01-01,2024-06-28,2
3652,1980-01-01,2024-06-28,44
3653,1981-01-01,2024-06-28,43
3654,1982-01-01,2024-06-28,42
3655,1983-01-01,2024-06-28,41
3656,1984-01-01,2024-06-28,40
3657,1985-01-01,2024-06-28,39
3658,1986-01-01,2024-06-28,38
3659,1987-01-01,2024-06-28,37
3660,1988-01-01,2024-06-28,36
3661,1989-01-01,2024-06-28,35
3662,1990-01-01,2024-06-28,34
3663,1991-01-01,2024-06-28,33
3664,1992-01-01,2024-06-28,32
3665,1993-01-01,2024-06-28,31
3666,1994-01-01,2024-06-28,30
3667,1995-01-01,2024-06-28,29
3668,1996-01-01,2024-06-28,28
3669,1997-01-01,2024-06-28,27
